classification,postal_code,street_number,street_name,street_type
Residential,B2Z 1A7,1176,DOWNEY,RD
Residential,B2X 2M1,49,ANDOVER,ST
Residential,B2W 2G6,8,TOPSAIL,BLVD
Residential,B3M 3H8,63,SASKATOON,DR
Residential,B3A 2S8,45,TULIP,ST
Residential,B3E 1M9,19,SANDY POINT,RD
Residential,B3E 1L4,1448,WEST PORTERS LAKE,RD
Residential,B2Y 3Y2,36,RILEY,RD
Residential,B3H 3V3,1688,PRESTON,ST
Residential,B2Y 1N7,335,PRINCE ALBERT,RD
Residential,B2W 4X7,48,TARANAKI,DR
Residential,B4E 0M7,642,MAGENTA,DR
Residential,B4B 1S6,82,LONG LAKE,DR
Residential,B3K 4C7,2637,AGRICOLA,ST
Residential,B3T 1L6,2,NORTH GREEN,RD
Residential,B3A 2Y8,1,GARDEN,DR
Residential,B4B 0L6,21,LOWTHER,LANE
Residential,B3V 1E8,15,AMBER,DR
Residential,B2W 6G6,30,MADEIRA,CRES
Residential,B2X 3G4,71,APPIAN,WAY
Residential,B4C 1W6,5,HILLSIDE,AVE
Residential,B2V 2K9,392,COLBY,DR
Residential,B4C 2Z1,61,QUAKER,CRES
Residential,B3L 3W3,3221,MICMAC,ST
Residential,B3N 1K8,635,ST MARGARETS BAY,RD
Residential,B3G 1H1,54,ROMKEY,DR
Residential,B3A 3H8,9,GRAHAM,ST
Residential,B2T 1G3,29,WINDGATE,DR
Residential,B0N 2M0,749,ST MARYS,RD
Residential,B0J 1T0,184,SCHWARTZ,RD
Residential,B2V 1S6,97,DRIFTWOOD,CRES
Residential,B3M 1K7,5,SCARLET,RD
Residential,B2X 1E6,5,BIRCHDALE,AVE
Residential,B2W 6K5,71,COLE,DR
Residential,B3R 1T1,284,SPENCER,AVE
Residential,B3G 1E5,109,REDOUBT,WAY
Residential,B3G 1H5,2024,SHORE,RD
Residential,B2W 6H5,130,HIRANDALE,CRES
Residential,B3R 0A5,59,GRINDSTONE,DR
Residential,B2T 1A5,52,BROOK,ST
Residential,B4C 2Z1,41,QUAKER,CRES
Residential,B4E 2T8,1,KINDLING,CRES
Residential,B3V 1K7,1191,KETCH HARBOUR,RD
Residential,B3Z 3S4,29,WEST DOVER,RD
Residential,B2V 1A4,317,CALDWELL,RD
Residential,B3T 2B1,1433,PROSPECT BAY,RD
Residential,B0J 1T0,2,PUDDLE HILL,LANE
Residential,B3A 0A2,55,CANNON,TERR
Residential,B3Z 1G5,9,PADDINGTON,WAY
Residential,B3L 2B8,6927,BAYERS,RD
Residential,B3E 1E6,25,SANDY,LANE
Residential,B3G 1N2,9,DEYOUNG,DR
Residential,B0J 1W0,11,BIG ISLAND,WA
Residential,B4A 1V5,108,SHOREVIEW,DR
Residential,B4A 4B7,64,ROYAL MASTS,WAY
Residential,B3K 3E7,3509,NOVALEA,DR
Residential,B0J 1N0,50,HAVEN,LANE
Residential,B2W 3R2,6,CODROY,AVE
Residential,B2W 3C6,97,SPIKENARD,ST
Residential,B3Z 3H4,219,MOSER ISLAND,RD
Residential,B3T 1X2,757,TERENCE BAY,RD
Residential,B3K 3W8,2672,BELLE AIRE,TERR
Residential,B2Z 1J2,17,WESTMOUNT,DR
Residential,B3K 3V7,2616,FULLER,TERR
Residential,B2W 1X4,21,GRANDVIEW,DR
Residential,B3G 1K9,1887,COW BAY,RD
Residential,B4C 2P7,80,WALKER SERVICE,RD
Residential,B3A 2Y9,6,GARDEN,DR
Residential,B3A 4Y1,36,ARGUS,DR
Residential,B0J 1T0,15,BAYVIEW,LANE
Residential,B2Y 4G1,2,MARCS,WAY
Residential,B3V 1A7,14,CLOVER,LANE
Residential,B2T 1K1,28,EAGLE POINT,DR
Residential,B4E 3C1,229,PATTON,RD
Residential,B3K 4L4,2736,FERN,LANE
Residential,B3E 1J1,1,ALPS,RD
Residential,B3G 1P5,5,JEEP,CRES
Residential,B3K 5C2,2537,WINDSOR,ST
Residential,B0J 3B0,276,MALAY FALLS LOCHABER MINES,RD
Residential,B3E 1B9,217,CIRCLE,DR
Residential,B3N 3E2,1,WHITE GLOVE,TERR
Residential,B2W 1T8,14,CLIFFORD,DR
Residential,B3H 1H9,871,MARLBOROUGH,WDS
Residential,B2X 3S1,23,LEXINGTON,AVE
Residential,B3Z 1A4,2,WHITE PINE,RG
Residential,B0J 2L0,303,EAST PETPESWICK,RD
Residential,B3G 1G9,16,ADELE,CRT
Residential,B4C 3S1,69,HARTFORD,DR
Residential,B0J 1N0,16,PINE,LANE
Residential,B3N 2E7,200,MELROSE,AVE
Residential,B4C 1G2,8,MULBERRY,CRT
Residential,B3Z 1K4,61,PINETREE,CRES
Residential,B3T 1B1,11,FOURTH,ST
Residential,B3L 3C3,2376,NEWTON,AVE
Residential,B4B 1N3,429,GLEN ARBOUR,WAY
Residential,B3L 1Y1,6363,LIVERPOOL,ST
Residential,B2T 1J5,118,OAKES,RD
Residential,B3T 1E5,94,EISENER,ST
Residential,B4B 0S8,25,CRANFIELD,CRT
Residential,B3S 1K4,10,PARKMOUNT,CL
Residential,B3A 4C6,57,PRIMROSE,ST
Residential,B3Z 2K9,82,WHYNACHTS POINT,RD
Residential,B3R 1S7,23,SPENCER,AVE
Residential,B3M 0J4,122,FLEETVIEW,DR
Residential,B0N 1X0,694,HIGGINS LAKE,RD
Residential,B3K 1K7,5789,CHARLES,ST
Residential,B3R 1B1,10,CHARLTON,AVE
Residential,B3A 4A8,17,STEWARTS,CRT
Residential,B3Z 2R5,48,LONGARDS,RD
Residential,B3H 2K7,6131,LINDEN,ST
Residential,B4A 3K2,26,ROY,CRES
Residential,B2X 3S6,27,WALNUT,HALL
Residential,B2V 1M8,44,PARKLAND,AVE
Residential,B3V 1J8,2,HARBOUR VIEW,DR
Residential,B3G 1M6,1469,MAIN,RD
Residential,B2W 1K9,33,ATHORPE,DR
Residential,B4A 0A3,90,RAVINES,DR
Residential,B2W 1P4,11,STEVENS,RD
Residential,B3E 1B3,6,LINDA,LANE
Residential,B2T 1A4,117,INGRAM,DR
Residential,B3G 1B9,50,BRIARWOOD,DR
Residential,B3Z 0M2,1257,WESTWOOD,BLVD
Residential,B0J 1W0,123,BAKERS POINT,RD
Residential,B3M 3N3,44,SHAUNSLIEVE,DR
Residential,B3E 1L2,75,GREENOUGH,DR
Residential,B2Z 1G5,260,BROOKS,DR
Residential,B3G 1M1,115,JUNIPER,CRES
Residential,B0J 3B0,27,LORETTAS,LANE
Residential,B3L 3Y4,3114,AIKENS,AVE
Residential,B2Z 1J6,15,DEERWOOD,DR
Residential,B3T 1C2,47,PARKDALE,AVE
Residential,B0N 2M0,123,LEMMON HILL,RD
Residential,B2Z 1E6,66,SHEPHERDS,LANE
Residential,B3T 1T3,40,MELODY,DR
Residential,B2W 2Y3,37,GLENN,AVE
Residential,B3A 3R7,185,CRICHTON,AVE
Residential,B3M 1N4,11,HAZELHOLME,DR
Residential,B2Z 1C5,1951,LAWRENCETOWN,RD
Residential,B4E 0M5,139,EXECUTIVE,DR
Residential,B3P 1G4,28,BIRCHVIEW,DR
Residential,B3Z 1G6,6,BRISTOL,AVE
Residential,B3N 3H1,80,TAMARACK,DR
Residential,B4C 4C4,54,VICTORIA,DR
Residential,B3L 1M6,6969,CHEBUCTO,RD
Residential,B2Z 1J7,116,DEMPSTER,CRES
Residential,B3A 2G6,5,LAURIER,ST
Residential,B4E 0H6,36,HANWELL,DR
Residential,B3R 2M2,14,FELDSPAR,CRES
Residential,B3T 1B9,15,ELM GROVE,AVE
Residential,B0J 2K0,271,NEW CHESTER,RD
Residential,B3M 2B4,41,WEDGEWOOD,AVE
Residential,B2T 1E6,1310,FALL RIVER,RD
Residential,B4C 2K4,625,OLD SACKVILLE,RD
Residential,B2V 2V5,42,BROOKVIEW,DR
Residential,B0J 3B0,18,BARKHOUSE,RD
Residential,B4C 4G2,256,STOKIL,DR
Residential,B4C 2B3,19,PHOENIX,CRES
Residential,B3Z 1A4,15,WHITE PINE,RG
Residential,B4C 1A3,198,ALDER,CRES
Residential,B3T 1V2,2426,PROSPECT,RD
Residential,B2T 1A1,286,HOLLAND,RD
Residential,B3T 2A5,1144,PROSPECT BAY,RD
Residential,B4A 1W7,23,BEDFORD,ST
Residential,B4C 2P6,185,HILLTOP,DR
Residential,B3A 1A7,15,INDIA,ST
Residential,B2R 1B3,100,ROLLING HILLS,DR
Residential,B0J 1T0,497,CONRADS,RD
Residential,B4B 1P2,1615,POCKWOCK,RD
Residential,B3T 1C6,34,ROSEWOOD,AVE
Residential,B3L 2E5,7125,MORNINGSIDE,DR
Residential,B3N 3A2,10,SAMUEL,TERR
Residential,B3N 2E7,184,MELROSE,AVE
Residential,B4G 1E2,14,PINEBROOK,DR
Residential,B3G 1L6,958,COW BAY,RD
Residential,B2Z 1C1,45,LAWLOR,CRES
Residential,B2Y 3E7,36,LORNE,AVE
Residential,B3A 2L8,32,OAKDALE,CRES
Residential,B3L 4A2,3025,OLIVET,ST
Residential,B3V 1L5,1673,KETCH HARBOUR,RD
Residential,B4E 3C5,3238,SACKVILLE,DR
Residential,B3Z 3L7,9408,PEGGYS COVE,RD
Residential,B4A 1K5,92,DOYLE,ST
Residential,B3M 2Y5,101,DEEPWOOD,CRES
Residential,B3Z 1M5,75,HEMLOCK,DR
Residential,B4C 1E1,212,ASPEN,CRES
Residential,B0J 1P0,2236,WEST JEDDORE,RD
Residential,B4C 1W6,61,HILLSIDE,AVE
Residential,B2Y 1P4,7,ERSKINE,ST
Residential,B3L 3E3,2260,ARMCRESCENT WEST,AVE
Residential,B3Z 1Z4,390,MASONS POINT,RD
Residential,B4C 1A1,47,ALDER,CRES
Residential,B2W 4N6,134,CIRCASSION,DR
Residential,B2Y 1T3,8,WYNDHOLME,AVE
Residential,B3P 2A6,10,SEAVIEW,AVE
Residential,B3T 2A7,308,SELIGS,RD
Residential,B4A 3T8,110,DUFFUS,DR
Residential,B2Y 3K7,7,CENTRE,ST
Residential,B3V 1B4,115,WHITEHEAD,RD
Residential,B3A 2N8,36,CRICHTON PARK,RD
Residential,B3L 1W6,6439,EDINBURGH,ST
Residential,B4E 3G7,39,IMPERIAL,CRT
Residential,B2W 4J1,143,ARKLOW,DR
Residential,B2V 1Z7,97,FLAGSTONE,DR
Residential,B4E 1G4,45,BEAVER BANK,RD
Residential,B2T 1H7,177,ROBERT,ST
Residential,B3E 1B8,42,BUMPY,LANE
Residential,B4C 4A7,31,HADDAD,DR
Residential,B3L 2X6,2549,KLINE,ST
Residential,B4E 3B1,14,CEDAR,CRT
Residential,B2T 0B6,268,ABILENE,AVE
Residential,B3L 2E1,6860,EDWARD ARAB,AVE
Residential,B4E 2M4,469,GLEN RISE,DR
Residential,B4E 2E3,266,BEAVER BANK CROSS,RD
Residential,B4C 2T9,34,SAPPHIRE,CRES
Residential,B3T 1A9,1578,ST MARGARETS BAY,RD
Residential,B3Z 1N2,1,LEXINGTON,CRT
Residential,B3P 2S1,210,ABRAMS,WAY
Residential,B2X 2M6,13,LETHBRIDGE,AVE
Residential,B2W 2K3,50,ELM,ST
Residential,B4G 1A9,31,BARRETT,RD
Residential,B2Z 1B4,9,ROSS,RD
Residential,B3M 1Y8,17,LYNWOOD,DR
Residential,B3V 1B8,42,MOODY PARK,DR
Residential,B3Z 1M6,78,SHELBY,DR
Residential,B2Z 1G2,106,UPPER GOVERNOR,ST
Residential,B3R 2K7,7,FELDSPAR,CRES
Residential,B4E 3H5,256,RHODORA,DR
Residential,B4A 1S8,91,MADISON,DR
Residential,B3Z 1E9,76,BRISTOL,AVE
Residential,B3T 1A5,5,KENDALL,CRT
Residential,B0J 1N0,109,RUTTER,CRT
Residential,B3L 2Z5,2489,CONNAUGHT,AVE
Residential,B3Z 2E7,195,GLENWOOD,DR
Residential,B3P 1R9,22,WYNDROCK,DR
Residential,B2Z 1B3,196,LAKE MAJOR,RD
Residential,B2Y 2M5,4,RENFREW,ST
Residential,B3N 1T5,3,GLENGARY,DR
Residential,B3Z 1L2,233,SILVER BIRCH,DR
Residential,B2V 1Z1,74,FIRESIDE,DR
Residential,B3E 1M2,370,WEST PORTERS LAKE,RD
Residential,B2W 2A6,26,PAULINE,CRES
Residential,B2Y 1S1,38,SINCLAIR,ST
Residential,B2Z 1M7,118,CAMBRIDGE,DR
Residential,B3H 1Z8,6233,COBURG,RD
Residential,B3G 1A8,24,MAPLE,LANE
Residential,B3M 3E6,17,WILSON,BLVD
Residential,B3T 1Y8,2036,LOWER PROSPECT,RD
Residential,B0N 2M0,2244,ST MARYS,RD
Residential,B3T 2G1,177,BEECH TREE,RUN
Residential,B3A 4G7,3,MONIQUE,AVE
Residential,B3Z 3K1,79,GATES,RD
Residential,B2T 1E6,4,HOROBIN,DR
Residential,B2W 5P7,16,OAKWOOD,CRT
Residential,B2W 6G3,31,QUINDORA,CRES
Residential,B4A 3B3,109,EAGLEWOOD,DR
Residential,B4B 1M4,43,DIANA,DR
Residential,B2W 2P6,32,CLYSDALE,DR
Residential,B3G 1H8,50,HIMMELMAN,DR
Residential,B3T 1H2,10,HILLSIDE,DR
Residential,B4C 2Y7,1603,RIVERSIDE,DR
Residential,B0J 1T0,26,KEANS,RD
Residential,B3T 2G2,238,SHEPPARDS,RUN
Residential,B2V 2R1,102,MAPLEWOOD,DR
Residential,B3A 3J3,17,VANESSA,DR
Residential,B4A 4B3,217,RIDGEVALE,DR
Residential,B3A 2S7,50,TULIP,ST
Residential,B2W 5M4,27,CHAMEAU,CRES
Residential,B4B 1K4,2,DIANA,DR
Residential,B0N 1Y0,132,MCDOUGALL,RD
Residential,B3V 1E1,2550,OLD SAMBRO,RD
Residential,B3P 2J3,9,BOULDERWOOD,RD
Residential,B4C 2M3,78,SACKVILLE CROSS,RD
Residential,B4E 3B6,28,ANDREA LORI,DR
Residential,B2S 2G6,10,ALEXANDER,LANE
Residential,B3H 3Y8,1350,OXFORD,ST
Residential,B3N 3A4,39,VERONICA,DR
Residential,B3N 1G2,3,STONEHAVEN,RD
Residential,B3A 4P7,7,BROOKDALE,CRT
Residential,B4G 0A1,152,HEATHERGLEN,DR
Residential,B2Z 1G5,230,BROOKS,DR
Residential,B2V 1J5,179,CALDWELL,RD
Residential,B4A 3C1,50,PEREGRINE,CRES
Residential,B3E 1H5,133,CANDLEWOOD,DR
Residential,B2V 1E4,8,LANDSDOWN,DR
Residential,B0J 1Y0,20,RIVER,RD
Residential,B3N 1S1,22,ELIZABETH,DR
Residential,B3Z 2V8,1,JUNIPER,RG
Residential,B4A 0C9,500,SOUTHGATE,DR
Residential,B2W 5W8,117,JOHN STEWART,DR
Residential,B3G 1A3,107,COW BAY,RD
Residential,B3J 1A4,5278,SOUTH,ST
Residential,B3G 1N6,16,MELROSE,CRES
Residential,B2Y 1M7,148,PRINCE ALBERT,RD
Residential,B4E 3C7,15,MAXWELL,AVE
Residential,B3A 4Z2,44,SOUTH RIDGE,CIR
Residential,B3H 3Y7,1159,ROCKCLIFFE,ST
Residential,B3T 1P4,857,PROSPECT,RD
Residential,B2T 0K2,115,GIVEN,DR
Residential,B4E 0K6,8,FRINGE,DR
Residential,B4A 4G3,63,BAHA,CRT
Residential,B3R 0A5,35,GRINDSTONE,DR
Residential,B3G 1C8,101,BIRCHILL,DR
Residential,B4E 2S7,11,SUNNYVALE,CRT
Residential,B4G 1G4,35,LOST CREEK,DR
Residential,B4C 3Y5,204,PARKLANE,DR
Residential,B3T 1N4,185,CHARLES,RD
Residential,B0J 1N0,85,LOGANBERRY,LANE
Residential,B4C 2H1,35,LENNOX,DR
Residential,B3M 4T5,186,STARBOARD,DR
Residential,B4A 0J8,31,MELLOWGLEN,CRT
Residential,B3T 1L2,76,ASHDALE,CRES
Residential,B0J 1N0,10,HOPERIDGE,LANE
Residential,B4B 1B9,93,GILES,DR
Residential,B3L 2A1,6352,YOUNG,ST
Residential,B4E 2H3,76,WYNN CASTLE,DR
Residential,B4C 3L1,105,CAVALIER,DR
Residential,B3N 1W1,2,KELLY,ST
Residential,B3Z 4P1,243,GRANITE COVE,DR
Residential,B4A 3C1,18,PEREGRINE,CRES
Residential,B3V 1J2,58,VIEW ROYAL,DR
Residential,B4C 1S1,232,SKYRIDGE,AVE
Residential,B3T 1B9,16,MAPLE GROVE,AVE
Residential,B3K 3N1,3231,DEVONSHIRE,AVE
Residential,B2Z 1L2,2647,LAWRENCETOWN,RD
Residential,B3K 1L8,6037,WILLOW,ST
Residential,B2X 2G6,757,WAVERLEY,RD
Residential,B3M 3G9,3,ROBERT ALLEN,DR
Residential,B3K 2L4,5392,ROOME,ST
Residential,B2T 1A9,29,FRENCHMANS,RD
Residential,B3A 4E5,24,FLORRIES,LANE
Residential,B4E 3K4,550,SPRINGFIELD LAKE,RD
Residential,B2X 1L9,5,RUBEN,CRT
Residential,B4G 1A8,36,SHERRI,LANE
Residential,B2T 1E7,57,FOSTER,AVE
Residential,B3Z 2A6,54,BAYVIEW,DR
Residential,B3E 1C4,6,SNEEZY,AVE
Residential,B2V 2C3,10,BECKS,WAY
Residential,B4C 4C7,159,LAKEVIEW,RD
Residential,B3K 2B5,5655,KANE,ST
Residential,B4C 2T6,355,GLENDALE,DR
Residential,B2W 4P1,40,CLERMONT,CRES
Residential,B3T 2E7,45,STONE HILL,PL
Residential,B2R 0A2,256,WILLOWHILL,RG
Residential,B0N 1V0,255,ALICE GRANT,LANE
Residential,B0N 1Y0,140,NELSON HILL,RD
Residential,B3K 3Z3,5683,DRUMMOND,CRT
Residential,B0J 1N0,99,PEARSON,DR
Residential,B2W 0G1,43,HAVENBROOK,HILL
Residential,B3S 1E4,1,LANCASTER,DR
Residential,B3S 1K4,348,LANGBRAE,DR
Residential,B4A 1X4,82,RUTLEDGE,ST
Residential,B3A 4N6,5,LOUISE,CRT
Residential,B3N 1G8,44,FENWOOD,RD
Residential,B2T 1N3,171,HIGH,RD
Residential,B3A 4Y3,110,LANCASTER,DR
Residential,B3K 3G2,3664,NOVALEA,DR
Residential,B0N 1X0,9391,MOOSE RIVER,RD
Residential,B4B 1K7,223,ST GEORGE,BLVD
Residential,B3V 1H8,41,ESSEX,DR
Residential,B3P 1E6,47,EASTVIEW,DR
Residential,B4C 4E7,35,SANDRICK,AVE
Residential,B2X 3H4,100,APPIAN,WAY
Residential,B3J 1T9,1326,HOLLIS,ST
Residential,B4B 1P9,14,THIRD,ST
Residential,B2R 1Y5,1808,WAVERLEY,RD
Residential,B2Z 1A5,6,SPARKS,RD
Residential,B3H 4G5,1959,WOODLAWN,TERR
Residential,B3N 1W3,3,GLENMORE,AVE
Residential,B4B 1P1,963,POCKWOCK,RD
Residential,B3N 3B4,16,KEYSTONE,CRT
Residential,B3N 1V5,15,SUNSET,AVE
Residential,B3P 1A8,29,FLEMING,DR
Residential,B4B 1Y5,196,SHANNONVALE,CRT
Residential,B3A 3M7,19,RUSSELL,ST
Residential,B0J 2L0,2030,EAST PETPESWICK,RD
Residential,B2Z 1E2,2,JAN MARIE,DR
Residential,B3T 1N6,306,CHARLES,RD
Residential,B4C 1B4,1070,RIVERSIDE,DR
Residential,B3A 1G1,229,WINDMILL,RD
Residential,B2X 2G4,710,WAVERLEY,RD
Residential,B4E 3G2,46,BATTEN,CRES
Residential,B2W 6L7,42,PORTLAND HILLS,DR
Residential,B2Y 4E1,27,WHEATSTONE,HTS
Residential,B0J 2L0,264,EAST PETPESWICK,RD
Residential,B4B 1E8,51,CRESTFIELD,DR
Residential,B3G 1T4,72,HERITAGE HILLS,DR
Residential,B4B 0P1,21,LARKVIEW,TERR
Residential,B4B 1M2,6,JULLIN,CRT
Residential,B2S 1T1,455,OLD TRUNK,RD
Residential,B4E 2H2,19,CARRIAGE WAY,TERR
Residential,B3L 2H7,6937,MUMFORD,RD
Residential,B2X 2A5,178,GOUROK,AVE
Residential,B4A 3L7,388,RIDGEVALE,DR
Residential,B4C 1J7,25,FLORENCE,ST
Residential,B3T 1K1,124,ASHDALE,CRES
Residential,B3G 1C8,112,BIRCHILL,DR
Residential,B2Y 3J8,46,CHITTICK,AVE
Residential,B3Z 3M2,120,COVEY,RD
Residential,B4A 1V5,44,SHOREVIEW,DR
Residential,B2V 1J6,62,COLBY,DR
Residential,B4G 0A2,307,HEATHERGLEN,DR
Residential,B3E 1L8,21,PORTERFIELD,DR
Residential,B4A 4G9,223,OCEANVIEW,DR
Residential,B2W 3J9,55,ELWIN,CRES
Residential,B3P 2T7,62,KEYWORTH,LANE
Residential,B3M 1W8,10,PIONEER,AVE
Residential,B4A 1M3,165,HIGH,ST
Residential,B3Z 3W8,266,EAST DOVER,RD
Residential,B2T 1J4,41,PINE OAK,DR
Residential,B3G 1S8,115,SAMUEL DANIAL,DR
Residential,B3M 1V3,20,NIGHTINGALE,DR
Residential,B3R 1J9,20,SYLVIA,AVE
Residential,B4C 1H3,55,RAYMOND,DR
Residential,B4G 1B8,582,BEAVER BANK,RD
Residential,B2V 1K6,64,BRIARLYNN,CRES
Residential,B3N 1Z2,7,PIERS,AVE
Residential,B4B 0L4,182,HOLLYHOCK,WAY
Residential,B4B 1M6,33,BRANDY,CRT
Residential,B3P 1P8,47,ALBION,RD
Residential,B3V 1H2,171,VILLAGE,RD
Residential,B3V 1B7,237,FRASER,RD
Residential,B2W 4P5,9,GLENALVA,CRT
Residential,B4C 3L3,42,CABOT,CRES
Residential,B4E 1M8,331,IONEY,HILL
Residential,B2Z 1M5,71,OSPREY,WAY
Residential,B0J 1N0,103,LES COLLINS,AVE
Residential,B4A 3S4,39,CANFIELD,CRT
Residential,B3N 2P7,45,CONVOY,AVE
Residential,B3S 1P6,48,GORSEBUD,CL
Residential,B2T 1A4,19,SHEFFIELD,CRT
Residential,B0N 1X0,1014,COOKS BROOK,RD
Residential,B3R 1M1,27,LEARNING,LANE
Residential,B0J 2L0,779,WEST PETPESWICK,RD
Residential,B0J 1T0,291,SCHWARTZ,RD
Residential,B0N 1X0,1883,HIGGINSVILLE,RD
Residential,B4C 3A6,126,RANKIN,DR
Residential,B4A 2B6,65,UNION,ST
Residential,B2T 1E6,10,WATERVIEW,DR
Residential,B2T 1B9,1460,OLDHAM,RD
Residential,B4E 3G1,1228,SACKVILLE,DR
Residential,B4C 3E2,85,DICKEY,DR
Residential,B3K 3M2,3210,DEVONSHIRE,AVE
Residential,B2V 1M8,6,PARKLAND,AVE
Residential,B3L 2T9,2711,OXFORD,ST
Residential,B4C 4A9,18,YEREVAN,DR
Residential,B3Z 1N7,43,HUMMINGBIRD,LANE
Residential,B3Z 1W9,207,HILLSIDE,DR
Residential,B0J 1W0,7,MITCHELL COVE,LANE
Residential,B3N 2W5,8,CROSS,ST
Residential,B2Y 3S4,351,PLEASANT,ST
Residential,B4C 2H5,25,LYDGATE,DR
Residential,B2W 0C1,81,CHEBOGUE,LANE
Residential,B4E 2V1,51,KINDLING,CRES
Residential,B3H 3R7,1146,STUDLEY,AVE
Residential,B4C 1C8,57,ASPEN,CRES
Residential,B2W 3G4,9,WANDA,LANE
Residential,B0N 2M0,84,MILL LAKE,RD
Residential,B3P 2S2,129,ABRAMS,WAY
Residential,B2W 4V1,164,NESTOR,CRES
Residential,B3M 3N7,21,CHADWICK,PL
Residential,B3N 2G5,50,SUNNYBRAE,AVE
Residential,B2Z 1K1,685,MINEVILLE,RD
Residential,B2W 4H2,29,BAYSWATER,RD
Residential,B3L 3L9,3563,CLAREMONT,ST
Residential,B0J 1N0,5,ARNI,DR
Residential,B3A 0B7,22,VIRIDIAN,DR
Residential,B3V 1L8,23,FIR GROVE,DR
Residential,B4C 2L6,12,RIDGE,AVE
Residential,B3T 1T2,377,BROOKSIDE,RD
Residential,B3Z 1E4,84,FRENCH VILLAGE STATION,RD
Residential,B2Z 0A3,110,LITTLE POND,LANE
Residential,B4E 1P4,1177,SUSAN,DR
Residential,B2X 2Z4,3,BEHAN,ST
Residential,B0J 2L0,67,SCOTSDALE,DR
Residential,B3R 0B6,36,ANGLER,DR
Residential,B3T 2G8,271,SHEPPARDS,RUN
Residential,B3H 1K5,5757,INGLIS,ST
Residential,B3J 1R2,5537,COGSWELL,ST
Residential,B3R 1Z6,964,HERRING COVE,RD
Residential,B3H 1T1,6076,SOUTH,ST
Residential,B4B 0T1,63,EVANDALE,LANE
Residential,B2T 1S6,424,PIGGOTT,AVE
Residential,B3L 4B8,3197,ASHBURN,AVE
Residential,B2X 1J5,15,RANNOCH,RD
Residential,B2W 6A1,21,P THOMAS,DR
Residential,B2V 1A6,444,CALDWELL,RD
Residential,B4A 3K5,17,CHAMPLAIN,CRT
Residential,B4E 1N8,149,MILO,TERR
Residential,B3A 3K3,74,WOODLAND,AVE
Residential,B2R 0A3,221,WILLOWHILL,RG
Residential,B2Z 1L1,2623,LAWRENCETOWN,RD
Residential,B3L 2L5,7069,ABBOTT,DR
Residential,B3Z 2C5,6071,ST MARGARETS BAY,RD
Residential,B2W 0H6,156,PEBBLECREEK,CRES
Residential,B3P 0E1,121,LIER,RG
Residential,B4B 1X1,88,LAKESHORE,DR
Residential,B0K 1C0,303,WEST LOON VILLAGE,RD
Residential,B4C 2K3,698,OLD SACKVILLE,RD
Residential,B4A 2H4,19,BROOK,ST
Residential,B2V 2P4,5,SHERWOOD,ST
Residential,B3Z 1H5,139,WESTWOOD,BLVD
Residential,B2T 1G3,114,CHARLESWOOD,DR
Residential,B3G 1B9,54,BRIARWOOD,DR
Residential,B3G 1J1,27,SEABREEZE,DR
Residential,B2W 0A5,316,FRESHWATER,TRL
Residential,B3H 4C7,1950,ROSEBANK,AVE
Residential,B4E 0R5,331,GASPEREAU,RUN
Residential,B4E 3G4,34,SPRINGFIELD,AVE
Residential,B3A 1C2,59,FAIRBANKS,ST
Residential,B0J 2L0,1326,WEST PETPESWICK,RD
Residential,B2V 1H6,74,AVONDALE,RD
Residential,B3T 0A6,16,CONIFER,CRT
Residential,B3E 1K8,34,MILL LAKE,RD
Residential,B4E 3A9,189,LIVELY,RD
Residential,B2W 3M2,4,AUSTEN,DR
Residential,B4A 0E6,87,WINDRIDGE,LANE
Residential,B3V 1S5,14,FORTRESS,DR
Residential,B3T 2G1,159,BEECH TREE,RUN
Residential,B4A 3T9,103,DUFFUS,DR
Residential,B4E 1A9,4,DOUGLAS,AVE
Residential,B2W 1E3,75,BONNIE BRAE,DR
Residential,B4C 2N4,218,COBEQUID,RD
Residential,B2W 2Y7,17,LANGLEY,AVE
Residential,B4A 3V5,28,CHURCH,CRT
Residential,B3H 3B7,1456,CARLTON,ST
Residential,B3R 1P2,32,SUSSEX,ST
Residential,B3T 1T5,12,EUNICE,DR
Residential,B3H 2N1,6143,SHIRLEY,ST
Residential,B3Z 2K7,9,SHEPHERDS,LANE
Residential,B2Z 1C2,15,LAWLOR,CRES
Residential,B0J 1N0,600,EAST CHEZZETCOOK,RD
Residential,B4C 1C6,7,CANDLEWOOD,CRT
Residential,B4E 3J7,24,JASPERRIDGE,LANE
Residential,B3E 1G7,32,KAREN SCOTT,DR
Residential,B4A 2J3,80,GOLF LINKS,RD
Residential,B2R 1Y2,1701,WAVERLEY,RD
Residential,B4E 3B2,27,COMMODORE,AVE
Residential,B3M 2S5,33,KEARNEY LAKE,RD
Residential,B3A 4Y4,5,CHINOOK,CRT
Residential,B3A 2Y7,6,SHAMROCK,DR
Residential,B2W 4N5,109,CIRCASSION,DR
Residential,B2V 1W5,72,SPENCE,DR
Residential,B4E 3L4,277,LAKECREST,DR
Residential,B2W 6A1,58,P THOMAS,DR
Residential,B3P 1A8,3,FLEMING,DR
Residential,B2W 3S3,109,LUNDY,DR
Residential,B3Z 1K1,68,LEEWARD,AVE
Residential,B4B 0M3,30,ASPENHILL,CRT
Residential,B2V 1J8,42,BOLING GREEN,CRES
Residential,B2W 3L9,20,OWEN,DR
Residential,B3V 1A5,15,ASHCROFT,AVE
